year,city,parameter,station_name,count,mean,std,min,25%,50%,75%,max
2022,Roma,pm10 µg/m³,CINECITTA,3.0,17.333333333333332,3.2145502536643185,15.0,15.5,16.0,18.5,21.0
2022,Roma,pm10 µg/m³,CIPRO,88.0,29.170454545454547,13.9771748176435,4.0,20.0,28.0,36.25,71.0
2022,Roma,pm10 µg/m³,Fermi,91.0,32.16483516483517,12.207705887187936,8.0,24.0,30.0,38.0,68.0
2022,Roma,pm10 µg/m³,L.GO MAGNA GRECIA,92.0,21.92391304347826,10.337421294758308,3.0,15.0,21.0,27.25,52.0
2022,Roma,pm10 µg/m³,L.GO PERESTRELLO,90.0,28.68888888888889,15.199530185261784,7.0,19.25,25.0,34.75,117.0
2022,Roma,pm10 µg/m³,Malagrotta,92.0,25.23913043478261,13.084148252724873,7.0,16.0,22.0,29.25,63.0
2022,Roma,pm10 µg/m³,TIBURTINA,92.0,31.869565217391305,15.384605828950688,3.0,21.0,28.0,40.0,80.0
2022,Roma,pm10 µg/m³,VILLA ADA,92.0,23.76086956521739,9.840898696137206,5.0,17.0,22.0,28.25,55.0
2022,Roma,pm25 µg/m³,ARENULA,92.0,14.48913043478261,6.742508362306038,3.0,10.0,14.0,18.0,34.0
2022,Roma,pm25 µg/m³,C.SO FRANCIA,87.0,15.655172413793103,6.9547166297528165,2.0,11.0,15.0,20.5,31.0
2022,Roma,pm25 µg/m³,CINECITTA,3.0,7.666666666666667,1.1547005383792517,7.0,7.0,7.0,8.0,9.0
2022,Roma,pm25 µg/m³,CIPRO,87.0,14.862068965517242,7.087775939082041,0.0,10.0,14.0,19.0,35.0
2022,Roma,pm25 µg/m³,Malagrotta,92.0,14.804347826086957,8.070076501175834,4.0,10.0,13.0,19.0,43.0
2022,Roma,pm25 µg/m³,VILLA ADA,90.0,12.755555555555556,5.9535866087691085,2.0,9.0,12.0,16.0,31.0
2022,Torino,no2 µg/m³,Borgaro T. - Caduti,6937.0,22.65734467348998,16.3094909970067,0.0,11.0,18.0,31.0,105.0
2022,Torino,no2 µg/m³,Settimo T. - Vivaldi,7453.0,27.545417952502348,17.062764515371338,3.0,15.0,23.0,36.0,112.0
2022,Torino,no2 µg/m³,Torino - Consolata,7232.0,39.36338495575221,19.532819823236768,0.0,26.0,35.0,49.0,144.0
2022,Torino,no2 µg/m³,Torino - Rebaudengo,7544.0,47.466065747613996,22.57380052073213,7.0,31.0,43.0,59.0,314.0
2022,Torino,no2 µg/m³,Torino - Rubino,7413.0,26.198165385134224,17.93172988673636,0.0,11.0,22.0,38.0,92.0
2022,Torino,o3 µg/m³,Borgaro T. - Caduti,6650.0,52.56451127819549,40.33659855309762,0.0,17.0,46.0,80.0,197.0
2022,Torino,o3 µg/m³,Torino - Rubino,7044.0,57.297274275979554,47.42546482185438,1.0,11.0,50.0,90.0,212.0
2022,Torino,pm10 µg/m³,Torino - Rubino,4678.0,25.21120136810603,17.41157649845954,0.0,12.0,21.0,35.0,156.0
2022,Torino,pm25 µg/m³,Torino - Rubino,5270.0,17.938140417457305,13.897189357546132,0.0,8.0,15.0,25.0,260.0
2023,Firenze,no2 µg/m³,FI-BASSI,6184.0,15.065734152652006,12.416204847768935,0.0,6.0,11.0,21.0,95.0
2023,Firenze,no2 µg/m³,FI-GRAMSCI,4748.0,39.84024852569503,19.765952422935424,1.0,25.0,39.0,52.0,470.0
